"","MoDC_6H_M4","MoDC_6H_M1","MoDC_6H_M2","MoDC_6H_M3","Naive_MoDC_M3","Naive_MoDC_M1","Naive_MoDC_M2"
"Phf11d",0.79,0.78,0.82,0.82,-1.09,-1.03,-1.09
"Sod2",0.92,0.77,0.77,0.74,-1.16,-1,-1.04
"Hck",0.97,0.75,0.79,0.68,-1.1,-1,-1.09
"Cxcl3",0.93,0.81,0.7,0.75,-1.17,-0.94,-1.09
"Acsl1",0.83,0.79,0.77,0.81,-1.21,-0.95,-1.03
"Ciao2b",0.86,0.93,0.6,0.8,-1.09,-1.17,-0.93
"Mapkbp1",0.82,0.94,0.75,0.68,-1.12,-1.12,-0.95
"Ngdn",0.77,1.01,0.67,0.73,-1.14,-1.12,-0.91
"Gsap",0.68,0.86,0.78,0.88,-1.15,-1.04,-1.01
"Junb",0.71,0.89,0.74,0.86,-1.18,-1.04,-0.97
"Aff1",0.73,0.85,0.79,0.83,-1.19,-0.94,-1.07
"Dck",0.67,0.9,0.82,0.79,-1.21,-0.96,-1.03
"Myd88",0.66,0.92,0.82,0.79,-1.16,-1,-1.04
"Pnp",0.76,0.88,0.84,0.73,-1.04,-1.05,-1.11
"Gadd45b",0.72,0.84,0.89,0.75,-1.08,-1.06,-1.06
"Adam17",0.68,0.8,0.86,0.86,-1.07,-1.08,-1.06
"H2-M2",0.66,0.84,0.8,0.9,-1.01,-1.07,-1.12
"Cflar",0.66,0.89,0.81,0.84,-1.02,-1.09,-1.08
"Eif2ak2",0.76,0.67,0.87,0.89,-1.22,-0.97,-0.99
"Ralgds",0.77,0.66,0.87,0.89,-1.2,-0.96,-1.03
"Rab32",0.86,0.69,0.82,0.82,-1.27,-0.88,-1.03
"Abracl",0.85,0.7,0.78,0.84,-1.3,-0.82,-1.05
"Cav1",0.8,0.8,0.79,0.82,-1.11,-0.96,-1.13
"Ccl3",0.83,0.75,0.83,0.79,-1.12,-0.93,-1.15
"Slc7a2",0.82,0.79,0.81,0.78,-1.09,-0.93,-1.18
"Ptpn12",0.74,0.87,0.77,0.82,-1.09,-0.94,-1.17
"Rtp4",0.73,0.8,0.83,0.85,-1.04,-1.03,-1.13
"Psme2",0.74,0.83,0.81,0.82,-1.04,-0.98,-1.17
"Rsad2",0.77,0.79,0.82,0.8,-1.07,-0.84,-1.27
"Acod1",0.76,0.81,0.84,0.78,-1.1,-0.88,-1.2
"Dnajc13",0.82,0.7,0.86,0.81,-1.17,-0.85,-1.17
"Cxcl10",0.83,0.76,0.82,0.77,-1.13,-0.79,-1.25
"Clec4e",0.78,0.79,0.82,0.78,-1.15,-0.8,-1.23
"Snx20",0.62,1,0.82,0.75,-1.11,-1.06,-1.01
"Notch2",0.64,0.86,0.9,0.79,-1.19,-1.04,-0.95
"Nfkb1",0.64,0.87,0.84,0.84,-1.19,-1.05,-0.95
"Max",0.65,0.88,0.83,0.82,-1.22,-1.03,-0.94
"Daxx",0.57,0.91,0.86,0.84,-1.15,-1.04,-0.99
"Ttc9c",0.56,0.92,0.86,0.84,-1.19,-1.08,-0.91
"Hivep3",0.56,0.89,0.94,0.78,-1.23,-0.92,-1.01
"Fam241a",0.58,0.86,0.94,0.79,-1.23,-0.89,-1.05
"Ppp2r5a",0.58,0.88,0.95,0.78,-1.13,-1.01,-1.05
"Rbpms",0.57,0.95,0.92,0.74,-1.13,-1.01,-1.04
"Rgs14",0.55,0.96,0.94,0.71,-1.23,-0.94,-1
"Jpt1",0.63,0.93,0.9,0.73,-1.22,-1.01,-0.95
"Slamf7",0.67,0.79,0.94,0.76,-1.29,-1.04,-0.84
"Larp1b",0.7,0.78,0.97,0.72,-1.28,-0.98,-0.91
"Cyth2",0.75,0.8,0.91,0.73,-1.28,-1,-0.9
"Arel1",0.74,0.76,0.94,0.76,-1.14,-1.11,-0.95
"Ankib1",0.72,0.75,0.96,0.75,-1.15,-1.1,-0.93
"Rnf19b",0.7,0.81,0.96,0.72,-1.15,-1.09,-0.95
"Zfp36",0.71,0.87,0.89,0.73,-1.14,-1.08,-0.97
"Malt1",0.75,0.87,0.78,0.79,-1.25,-1.01,-0.93
"Rnf114",0.76,0.83,0.84,0.76,-1.23,-0.96,-1
"Procr",0.75,0.88,0.79,0.76,-1.29,-0.9,-0.99
"Ifi204",0.67,0.81,0.85,0.83,-1.36,-0.88,-0.92
"Irgm1",0.64,0.8,0.87,0.86,-1.3,-0.92,-0.95
"Ppfibp2",0.6,0.83,0.87,0.87,-1.31,-0.92,-0.93
"Tnfaip2",0.69,0.84,0.83,0.81,-1.32,-1,-0.85
"Tor1aip1",0.64,0.83,0.89,0.82,-1.26,-1.01,-0.91
"Rnd3",0.43,0.59,1.11,0.93,-0.76,-0.89,-1.41
"Setdb2",0.41,0.71,0.96,1.02,-0.67,-1.12,-1.3
"Ddhd1",0.28,0.7,0.97,1.08,-0.62,-1.07,-1.34
"Ifi44",0.67,0.68,0.85,0.92,-0.63,-1.17,-1.32
"Il6",0.67,0.63,0.81,1,-0.67,-1.14,-1.31
"Iigp1",0.6,0.67,0.89,0.94,-0.67,-1.03,-1.41
"Gbp6",0.59,0.67,0.95,0.93,-0.74,-1.09,-1.3
"Oas1g",0.8,0.72,0.71,0.87,-0.55,-1.09,-1.45
"Zfas1",0.76,0.55,0.68,1.06,-0.55,-1.09,-1.43
"Tfec",0.65,0.71,0.68,1.04,-0.65,-0.92,-1.5
"Syne2",0.71,0.83,0.59,0.99,-0.66,-1.09,-1.36
"Cox17",0.78,0.84,0.61,0.89,-0.67,-1.01,-1.43
"Ifit3",0.7,0.8,0.86,0.82,-0.89,-1.01,-1.27
"Gbp5",0.68,0.76,0.86,0.88,-0.87,-1.01,-1.29
"Ifit1",0.71,0.8,0.83,0.83,-0.88,-0.89,-1.38
"Ifih1",0.67,0.79,0.87,0.85,-0.97,-0.92,-1.29
"Cd69",0.7,0.62,1.03,0.79,-0.98,-0.86,-1.31
"Nsd3",0.69,0.72,1.03,0.74,-0.99,-1,-1.19
"Calhm6",0.62,0.77,1,0.78,-0.86,-1.05,-1.26
"Lrrc8c",0.71,0.69,1.02,0.74,-0.84,-1.03,-1.29
"Ube2e2",0.62,0.78,0.88,0.86,-0.98,-0.78,-1.39
"Tubb4b",0.47,0.86,0.91,0.88,-1.07,-0.73,-1.32
"Ifit2",0.64,0.82,0.87,0.82,-1.16,-0.72,-1.27
"Zfr",0.56,0.87,0.91,0.79,-1.12,-0.66,-1.34
"Tnfsf4",0.6,0.78,0.85,0.89,-0.78,-0.88,-1.46
"Shfl",0.53,0.76,0.91,0.93,-0.86,-0.86,-1.4
"Fubp1",0.51,0.79,0.82,1,-0.88,-0.84,-1.41
"Agrn",0.64,0.93,0.7,0.86,-0.91,-0.77,-1.44
"Cep192",0.76,0.77,0.66,0.96,-0.88,-0.89,-1.39
"Rps5",0.96,0.73,0.83,0.6,-0.76,-0.94,-1.43
"Cemip2",0.84,0.75,0.83,0.72,-0.73,-1.02,-1.39
"Flt1",0.86,0.73,0.84,0.73,-0.79,-0.98,-1.38
"Irf7",0.92,0.79,0.77,0.68,-0.82,-1.02,-1.32
"Zbp1",0.89,0.78,0.77,0.72,-0.75,-1.06,-1.35
"AW011738",0.91,0.8,0.67,0.69,-0.56,-0.98,-1.53
"Dst",0.8,0.75,0.9,0.63,-0.72,-0.82,-1.54
"Isg15",0.77,0.83,0.76,0.76,-0.65,-1.05,-1.42
"Skil",0.76,0.81,0.81,0.73,-0.55,-1.2,-1.36
"Rbm43",0.72,0.81,0.86,0.74,-0.66,-1.12,-1.36
"Klrk1",0.71,0.86,0.97,0.55,-0.6,-1.1,-1.4
"Sgk1",0.69,0.95,0.83,0.66,-0.67,-1.14,-1.32
"Ppfia3",0.67,0.88,0.85,0.73,-0.61,-1.18,-1.33
"Gtpbp2",0.71,0.88,0.88,0.67,-0.66,-1.2,-1.27
"Pdlim1",0.65,1.04,0.79,0.66,-0.77,-1.03,-1.33
"Gm5431",0.7,0.87,0.83,0.74,-0.75,-0.97,-1.42
"Trim12c",0.62,0.94,0.76,0.81,-0.71,-1,-1.41
"Trim21",0.58,0.86,0.82,0.86,-0.7,-1.05,-1.38
"Zc3h12c",0.59,0.89,0.81,0.84,-0.7,-1.13,-1.31
"Usp18",0.65,0.87,0.86,0.77,-0.74,-1.08,-1.33
"Gm12250",0.66,0.87,0.83,0.77,-0.68,-1.04,-1.41
"Dhx58",0.64,0.83,0.93,0.77,-0.81,-1.13,-1.22
"Rapgef2",0.62,0.87,0.94,0.73,-0.81,-1.11,-1.25
"Slc25a37",0.6,0.93,0.91,0.7,-0.72,-1.11,-1.32
"Polr3c",0.64,0.97,0.84,0.7,-0.77,-1.11,-1.28
"Rab9",0.27,0.5,1.36,0.89,-1.01,-0.9,-1.1
"Arid1a",0.36,0.69,1.29,0.73,-1.16,-0.85,-1.06
"Ikzf1",0.49,0.63,1.16,0.85,-1.07,-0.94,-1.12
"9530068E07Rik",0.51,0.71,1.1,0.83,-1.11,-0.92,-1.12
"Cnih4",0.23,0.63,1.2,0.89,-0.78,-0.67,-1.5
"Mycbp2",0.2,0.71,1.19,0.84,-0.82,-0.61,-1.51
"Nampt",0.12,0.94,1.02,0.91,-1,-0.62,-1.37
"Atp13a1",0.03,0.76,1.1,1.04,-1.08,-0.59,-1.27
"Med1",0.13,0.85,1.17,0.84,-1.14,-0.61,-1.24
"Crkl",0.57,0.36,0.95,1.15,-1.16,-0.59,-1.28
"Zdhhc20",0.53,0.63,0.77,1.11,-1.3,-0.52,-1.24
"Vps37a",0.54,0.59,0.66,1.27,-1.11,-0.66,-1.29
"Tanc1",0.56,0.48,0.88,1.03,-0.71,-0.57,-1.67
"Plekhf2",0.57,0.73,0.98,0.74,-0.77,-0.64,-1.62
"Ppp4r3a",0.59,0.78,0.95,0.72,-0.92,-0.55,-1.57
"Prdx6",0.71,0.66,0.5,0.66,-1.96,0.14,-0.71
"Pdcd6",0.73,0.32,0.77,0.71,-1.97,0.08,-0.64
"Acbd3",0.24,0.68,0.7,0.98,-1.95,-0.21,-0.43
"Atp6v1h",0.18,0.48,0.7,1.13,-1.95,-0.13,-0.41
"Met",0.3,0.47,0.88,1.06,-1.77,-0.13,-0.8
"Psmb7",0.15,0.71,0.93,0.9,-1.72,-0.06,-0.91
"Tmem68",0.08,1.16,0.78,0.79,-1.61,-0.35,-0.84
"Elp5",0.3,0.93,0.88,0.76,-1.67,-0.32,-0.89
"Cct4",0.12,0.81,0.84,1.05,-1.7,-0.57,-0.55
"Prpsap1",0.19,0.86,0.72,1.08,-1.7,-0.63,-0.5
"Vps37c",0,0.87,0.9,0.98,-1.7,-0.59,-0.47
"Erbin",0.18,0.79,0.91,0.94,-1.74,-0.62,-0.47
"Ptprc",0.23,0.88,0.9,0.82,-1.77,-0.5,-0.55
"Eif4g2",0.15,0.86,1,0.78,-1.75,-0.44,-0.6
"Pcdh7",0.03,1.04,0.77,0.91,-1.72,-0.4,-0.62
"Apbb1ip",-0.07,1.03,0.9,0.89,-1.65,-0.5,-0.61
"Dse",-0.08,0.84,1.02,1,-1.57,-0.43,-0.78
"2410004B18Rik",0,0.92,1,0.93,-1.57,-0.53,-0.75
"Sh3bp2",-0.23,0.92,1.16,0.83,-1.55,-0.4,-0.72
"Eng",-0.13,0.81,1.29,0.74,-1.54,-0.44,-0.73
"Plekho2",-0.04,0.8,1.18,0.83,-1.63,-0.49,-0.65
"Ccdc93",-0.11,1.08,1.09,0.74,-1.49,-0.75,-0.56
"Irf5",0.01,1.08,0.98,0.7,-1.64,-0.73,-0.4
"Arf6",0.13,1,0.98,0.74,-1.66,-0.66,-0.53
"Cds1",0.11,0.92,1.16,0.75,-1.47,-0.65,-0.81
"Acer3",-0.01,0.93,1.11,0.8,-1.56,-0.53,-0.75
"Cnot7",0.03,0.96,1.07,0.78,-1.59,-0.6,-0.65
"Syk",0.22,0.9,0.89,0.92,-1.62,-0.71,-0.6
"Clcn7",0.23,0.92,0.97,0.8,-1.64,-0.66,-0.63
"Hk3",0.12,0.88,1.01,0.87,-1.63,-0.62,-0.63
"Gnl1",0.13,0.97,0.93,0.86,-1.62,-0.62,-0.65
"Map4",0.02,0.89,1.05,0.93,-1.51,-0.68,-0.7
"Actn1",0.05,1.03,0.94,0.88,-1.52,-0.67,-0.71
"Unc50",0.1,1,0.92,0.92,-1.49,-0.76,-0.7
"Ube2d1",0.25,0.88,1.01,0.7,-1.65,-0.93,-0.26
"Arl6ip1",-0.03,0.85,1.04,0.86,-1.66,-0.77,-0.29
"Ccz1",0.23,0.68,1.21,0.62,-1.74,-0.73,-0.26
"Ncoa7",0.21,0.94,1.16,0.36,-1.76,-0.64,-0.27
"Atf3",0.39,0.88,0.99,0.49,-1.82,-0.66,-0.28
"Rtca",0.42,0.55,0.93,1.02,-1.68,-0.73,-0.5
"Crbn",0.38,0.63,1.05,0.93,-1.54,-0.93,-0.53
"Pomp",0.56,0.65,0.95,0.86,-1.57,-0.94,-0.51
"Wdr37",0.4,0.59,1.17,0.77,-1.63,-0.7,-0.61
"Slc23a2",0.4,0.69,1.11,0.78,-1.6,-0.69,-0.69
"Ube2e1",0.43,0.71,1.02,0.7,-1.78,-0.67,-0.41
"Dock10",0.29,0.77,1.01,0.85,-1.64,-0.82,-0.47
"Fbxw11",0.4,0.76,1.01,0.81,-1.63,-0.73,-0.62
"Arhgap17",0.43,0.79,1.04,0.73,-1.62,-0.81,-0.56
"4921524J17Rik",0.41,0.85,1.13,0.61,-1.56,-0.65,-0.78
"Nol7",0.45,0.9,1.17,0.47,-1.52,-0.81,-0.65
"M6pr",0.36,0.93,0.96,0.75,-1.56,-0.87,-0.57
"Tmem170b",0.4,0.85,0.86,0.93,-1.53,-0.89,-0.63
"Lrch3",0.38,0.85,0.91,0.85,-1.59,-0.88,-0.52
"Hgs",0.45,0.85,0.89,0.84,-1.55,-0.93,-0.56
"Idnk",0.24,1.03,0.89,0.85,-1.48,-0.83,-0.7
"Nherf1",0.31,1.02,0.74,0.9,-1.58,-0.86,-0.52
"Itga4",0.56,1,0.87,0.62,-1.56,-0.77,-0.71
"Mcl1",0.57,0.95,0.87,0.61,-1.64,-0.75,-0.62
"Tpm4",0.49,0.9,0.81,0.76,-1.72,-0.66,-0.58
"Rdx",0.54,0.92,0.8,0.75,-1.64,-0.82,-0.55
"Eif3c",0.56,0.96,0.76,0.68,-1.71,-0.74,-0.51
"Txnrd1",0.41,0.95,0.83,0.8,-1.64,-0.65,-0.7
"Coro2a",0.34,0.91,0.86,0.86,-1.65,-0.6,-0.72
"Tbc1d10b",0.5,0.76,0.85,0.86,-1.68,-0.81,-0.48
"Katna1",0.5,0.71,0.97,0.84,-1.62,-0.73,-0.67
"Agfg1",0.49,0.72,0.9,0.88,-1.66,-0.7,-0.64
"St3gal1",0.57,0.8,0.79,0.88,-1.6,-0.77,-0.67
"Ttc39c",0.64,0.77,0.8,0.83,-1.64,-0.73,-0.66
"Ppp1r12a",0.3,1.13,0.63,0.66,-1.86,-0.47,-0.38
"Metap2",0.14,1.08,0.71,0.66,-1.9,-0.45,-0.24
"Srxn1",0.29,1.02,0.52,0.59,-2.04,-0.29,-0.09
"Mir22hg",0.34,0.87,0.66,0.7,-2.01,-0.32,-0.24
"Ghitm",0.43,0.74,0.64,0.79,-2.01,-0.24,-0.35
"Wdr1",0.36,0.75,0.75,0.82,-1.95,-0.3,-0.43
"Pi4k2b",0.3,0.68,1,0.66,-1.93,-0.22,-0.5
"Gnai3",0.18,0.89,0.8,0.79,-1.88,-0.27,-0.52
"Rapgef1",0.3,1,0.74,0.63,-1.89,-0.22,-0.57
"Hmgcr",-0.02,0.97,0.83,0.62,-1.91,0.07,-0.56
"Smim30",0.24,0.89,0.65,0.7,-2.03,-0.06,-0.37
"Flii",0.19,0.74,0.81,0.58,-2.1,-0.04,-0.18
"Ptafr",0.13,0.82,0.83,0.7,-2,-0.25,-0.24
"Abi1",0.1,0.83,0.83,0.69,-2.01,-0.24,-0.2
"Tmem50b",0.52,0.42,1.21,0.53,-1.85,-0.56,-0.27
"Patl1",0.44,0.47,1.1,0.46,-2.01,-0.22,-0.24
"Aopep",0.48,0.64,0.95,0.32,-2.07,-0.24,-0.09
"Pik3ap1",-0.04,0.87,0.95,0.54,-1.99,-0.3,-0.04
"Mgat1",0.04,0.9,0.92,0.46,-1.98,-0.46,0.12
"Brox",0.21,0.58,0.76,0.99,-1.93,-0.61,0
"Vim",0.1,0.85,0.82,0.73,-1.95,-0.52,-0.04
"Cops8",-0.01,0.76,0.89,0.86,-1.92,-0.43,-0.14
"Vwa5a",0.2,0.69,0.82,0.71,-2.05,-0.36,-0.02
"Sdcbp",0.21,0.56,0.83,0.89,-2,-0.36,-0.14
"Cert1",0.29,0.65,0.81,0.82,-1.99,-0.39,-0.18
"Gars",0.39,0.88,0.71,0.63,-1.96,-0.55,-0.11
"Dennd1a",0.25,0.89,0.9,0.57,-1.94,-0.45,-0.21
"Smcr8",0.28,0.75,0.94,0.7,-1.93,-0.43,-0.3
"Rab11a",0.31,0.82,0.91,0.6,-1.94,-0.38,-0.34
"Akr1a1",0.14,0.94,0.88,0.8,-1.77,-0.63,-0.36
"Sdc3",-0.01,0.92,0.95,0.77,-1.81,-0.57,-0.25
"Jund",0.09,0.95,0.98,0.62,-1.84,-0.54,-0.27
"Herc1",0.18,0.68,0.92,0.88,-1.89,-0.42,-0.36
"Rnf4",0.18,0.8,0.87,0.73,-1.95,-0.45,-0.19
"Zcrb1",0.21,0.68,0.92,0.8,-1.94,-0.45,-0.23
"Ufd1",0.58,0.67,0.35,0.98,-1.98,-0.46,-0.14
"Sgpl1",0.28,0.68,0.54,0.9,-2.07,-0.17,-0.16
"Ssr3",0.42,0.73,0.69,0.65,-2.06,-0.33,-0.11
"Trim28",0.43,0.62,0.61,0.76,-2.09,-0.34,0.01
"Psmd1",0.9,0.54,0.43,0.57,-2.02,-0.55,0.14
"Gstm1",1,0.5,0.38,0.54,-2.06,-0.26,-0.09
"Cstb",0.8,0.73,0.39,0.62,-2.03,-0.33,-0.19
"Xylt2",0.64,0.59,0.8,0.45,-2.04,-0.47,0.03
"Efhd2",0.65,0.52,0.65,0.67,-2.07,-0.4,-0.03
"Efr3a",0.66,0.41,0.91,0.59,-2.02,-0.3,-0.25
"Cct6a",0.73,0.41,0.77,0.68,-2.02,-0.23,-0.35
"Pom121",0.67,0.74,0.64,0.59,-2.01,-0.28,-0.35
"Acadl",0.61,0.74,0.66,0.46,-2.09,-0.23,-0.16
"Lilrb4b",0.56,0.72,0.79,0.78,-1.86,-0.5,-0.5
"Psma3",0.57,0.75,0.71,0.73,-1.93,-0.35,-0.48
"Clec4d",0.53,0.74,0.78,0.77,-1.87,-0.38,-0.56
"Mtarc2",0.5,0.84,0.75,0.72,-1.88,-0.39,-0.55
"Kars",0.41,0.9,0.82,0.68,-1.85,-0.47,-0.49
"Myo10",0.53,0.95,0.67,0.71,-1.81,-0.41,-0.64
"Anxa5",0.58,0.7,0.72,0.74,-1.94,-0.48,-0.33
"9130401M01Rik",0.5,0.67,0.8,0.79,-1.9,-0.57,-0.3
"Rheb",0.47,0.63,0.79,0.84,-1.93,-0.46,-0.35
"Ubqln1",0.78,0.67,0.61,0.76,-1.89,-0.57,-0.35
"Ywhae",0.74,0.6,0.62,0.84,-1.9,-0.45,-0.46
"Smu1",0.76,0.61,0.59,0.8,-1.93,-0.44,-0.4
"Txn1",0.73,0.73,0.75,0.68,-1.83,-0.58,-0.48
"Psmb4",0.74,0.74,0.78,0.64,-1.82,-0.51,-0.57
"Lrrc59",0.8,0.81,0.6,0.72,-1.77,-0.58,-0.58
"Rab5if",0.8,0.82,0.73,0.63,-1.72,-0.69,-0.58
"Cwc15",0.76,0.74,0.78,0.69,-1.74,-0.64,-0.58
"Vrk2",0.74,0.67,0.84,0.77,-1.66,-0.75,-0.62
"Hnrnpm",0.82,0.67,0.78,0.77,-1.64,-0.71,-0.69
"Txndc9",0.8,0.5,0.79,0.87,-1.71,-0.58,-0.67
"Bloc1s4",0.74,0.64,0.92,0.67,-1.72,-0.55,-0.69
"Ube2j2",0.83,0.6,0.8,0.71,-1.77,-0.49,-0.66
"Timm17a",0.62,0.88,0.53,0.85,-1.8,-0.53,-0.55
"Bnip2",0.59,0.81,0.62,0.89,-1.78,-0.47,-0.66
"Ino80d",0.54,0.75,0.61,1.03,-1.73,-0.55,-0.65
"Mat2a",0.55,0.85,0.66,0.87,-1.76,-0.6,-0.57
"Igsf6",0.48,0.83,0.69,0.92,-1.74,-0.68,-0.51
"Psmd12",0.78,0.8,0.52,0.9,-1.66,-0.84,-0.49
"Rab8b",0.77,0.71,0.57,0.92,-1.71,-0.75,-0.51
"Apbb2",0.59,0.9,0.66,0.86,-1.63,-0.78,-0.61
"Arl8a",0.73,0.84,0.63,0.81,-1.67,-0.75,-0.6
"Eif4e2",0.68,0.79,0.76,0.79,-1.66,-0.79,-0.59
"Prkx",0.55,0.83,0.88,0.67,-1.59,-1.11,-0.23
"Sf3b4",0.4,0.98,0.73,0.67,-1.67,-1.04,-0.07
"Csde1",0.92,0.65,0.61,0.69,-1.76,-0.87,-0.23
"Psme3",0.74,0.62,0.56,0.87,-1.84,-0.76,-0.18
"Prelid3b",0.69,0.71,0.69,0.8,-1.78,-0.8,-0.32
"Mtmr6",0.59,0.59,0.87,0.78,-1.83,-0.71,-0.28
"Atp6v1f",0.52,0.66,0.79,0.89,-1.78,-0.8,-0.28
"Ostf1",0.63,0.8,0.82,0.61,-1.77,-0.86,-0.23
"Eea1",0.5,0.92,0.8,0.55,-1.82,-0.78,-0.17
"Pdcd6ip",0.51,0.87,0.7,0.71,-1.85,-0.72,-0.21
"Mtm1",0.82,0.58,0.76,0.94,-1.48,-0.94,-0.68
"Dok7",0.63,0.54,0.86,1.01,-1.56,-0.86,-0.63
"Ddx28",0.76,0.47,0.74,1.03,-1.61,-0.86,-0.52
"Vps29",0.86,0.4,0.54,1.09,-1.69,-0.67,-0.54
"Btaf1",0.91,0.39,0.7,0.99,-1.62,-0.6,-0.77
"1810037I17Rik",0.84,0.49,0.67,1.03,-1.57,-0.75,-0.71
"Fstl1",0.9,0.47,0.94,0.75,-1.52,-0.86,-0.69
"Uqcrfs1",1.13,0.48,0.74,0.72,-1.42,-1,-0.65
"Tbrg1",1.17,0.56,0.57,0.7,-1.58,-0.6,-0.81
"Nr3c1",1.29,0.51,0.54,0.63,-1.53,-0.78,-0.67
"Pxk",0.97,0.67,0.7,0.69,-1.64,-0.7,-0.69
"Itpripl2",1.11,0.62,0.63,0.61,-1.65,-0.64,-0.68
"Ccdc50",1.02,0.51,0.85,0.68,-1.52,-0.72,-0.82
"Dcakd",1.09,0.57,0.67,0.71,-1.55,-0.78,-0.72
"Sltm",1,0.51,0.76,0.78,-1.55,-0.83,-0.68
"Smap1",1.09,0.49,0.2,0.98,-1.68,-0.83,-0.25
"Bcor",1.37,0.45,0.3,0.68,-1.64,-0.69,-0.47
"Jak1",1.12,0.5,0.42,0.8,-1.76,-0.61,-0.46
"Psma6",1.19,0.55,0.28,0.73,-1.79,-0.42,-0.54
"Zranb2",1.22,0.1,0.77,0.65,-1.71,-0.66,-0.36
"Lamtor3",1.17,0.16,0.55,0.92,-1.68,-0.55,-0.59
"Man1a",1.07,0.41,0.54,0.69,-1.88,-0.25,-0.58
"Psma2",1.21,0.34,0.65,0.53,-1.79,-0.25,-0.69
"Arfgef1",1.17,0.41,0.66,0.53,-1.78,-0.3,-0.7
"Zfp503",1.19,0.46,0.58,0.61,-1.73,-0.43,-0.69
"Bub3",1.17,0.5,0.5,0.59,-1.8,-0.3,-0.66
"Copa",1.17,0.4,0.58,0.57,-1.83,-0.65,-0.25
"Rack1",1.16,0.5,0.7,0.4,-1.79,-0.65,-0.32
"Cct2",1.04,0.33,0.77,0.62,-1.85,-0.48,-0.43
"B4galt5",0.91,0.58,0.8,0.58,-1.81,-0.52,-0.55
"Diaph2",1.05,0.49,0.62,0.6,-1.88,-0.38,-0.5
"Bclaf1",0.89,0.53,0.68,0.67,-1.92,-0.39,-0.45
"Fyb",0.99,0.9,0.61,0.19,-1.85,-0.57,-0.27
"Cpne2",0.97,0.89,0.64,0.22,-1.78,-0.77,-0.16
"Srsf2",0.73,0.79,0.86,0.39,-1.83,-0.77,-0.18
"Etv6",0.62,0.85,0.8,0.47,-1.9,-0.58,-0.26
"Ubap2l",0.67,0.73,0.86,0.49,-1.88,-0.67,-0.21
"Mbd2",0.81,0.78,0.6,0.55,-1.93,-0.51,-0.3
"Hnrnpab",0.71,0.74,0.67,0.55,-1.99,-0.47,-0.2
"Kcmf1",0.78,0.9,0.6,0.44,-1.89,-0.67,-0.16
"Cdk6",0.78,0.73,0.71,0.54,-1.89,-0.63,-0.24
"Tmem106a",0.76,0.73,0.76,0.49,-1.9,-0.68,-0.15
"Cdyl",0.88,0.75,0.64,0.53,-1.85,-0.25,-0.7
"Rbm25",0.79,0.81,0.61,0.66,-1.82,-0.35,-0.7
"Sec23b",1.02,0.72,0.62,0.56,-1.71,-0.43,-0.79
"Sugt1",1.04,0.8,0.49,0.51,-1.78,-0.38,-0.69
"Ncstn",0.77,0.67,0.88,0.42,-1.9,-0.31,-0.54
"Phrf1",0.98,0.61,0.83,0.34,-1.86,-0.51,-0.38
"Lcp1",1.05,0.49,0.79,0.37,-1.89,-0.31,-0.49
"Zwint",1.34,0.8,0.43,-0.04,-1.75,-0.5,-0.27
"Ufm1",1.11,0.81,0.68,0.18,-1.75,-0.4,-0.63
"Gclc",1.19,0.94,0.38,0.04,-1.8,-0.25,-0.51
"Med8",1.04,0.97,0.45,0.25,-1.82,-0.4,-0.49
"Tax1bp1",1.13,0.24,0.58,0.51,-1.99,-0.25,-0.22
"Pfkfb3",1.47,0.38,0.5,0.17,-1.76,-0.29,-0.48
"Rgl1",1.19,0.54,0.55,0.16,-1.95,-0.11,-0.38
"Dcaf12",1.25,0.64,0.79,0.31,-1.36,-1.06,-0.57
"Pabpc1",1.25,0.46,0.78,0.46,-1.4,-1.11,-0.44
"Dtwd1",1.24,0.54,0.74,0.51,-1.44,-0.95,-0.64
"Il2rg",1.33,0.61,0.63,0.44,-1.4,-0.9,-0.7
"Pcsk7",1.2,0.6,0.75,0.54,-1.31,-1.03,-0.76
"Gid8",1.34,0.53,0.71,0.43,-1.25,-1.1,-0.68
"Hk1",1.25,0.76,0.82,0.18,-1.28,-0.88,-0.85
"Fus",1.02,0.86,0.9,0.26,-1.42,-0.9,-0.72
"Furin",1.37,0.62,0.81,0.18,-1.11,-1.1,-0.78
"Prpf4",1.27,0.58,0.84,0.39,-1.12,-0.92,-1.05
"Cyfip1",1.2,0.6,0.86,0.43,-1.31,-0.87,-0.9
"Eapp",0.78,0.57,1.28,0.25,-1.58,-0.8,-0.5
"Il1rap",0.72,0.9,1.05,0.39,-1.27,-1.24,-0.54
"Snx6",0.98,0.66,0.89,0.42,-1.41,-1.26,-0.27
"Ppig",1.1,0.65,0.36,0.65,-1.72,-0.92,-0.11
"Arf1",1.29,0.57,0.47,0.39,-1.67,-0.91,-0.15
"Ctnna1",1.22,0.62,0.55,0.47,-1.68,-0.77,-0.42
"Map4k4",1.27,0.69,0.64,0.29,-1.6,-0.73,-0.57
"Nup88",1.03,0.78,0.51,0.56,-1.76,-0.67,-0.45
"Immt",0.96,0.72,0.69,0.53,-1.78,-0.63,-0.49
"Mak16",1.02,0.7,0.56,0.6,-1.79,-0.54,-0.55
"Hnrnpa2b1",1.04,0.77,0.58,0.53,-1.75,-0.61,-0.55
"Myl12a",0.91,0.91,0.51,0.51,-1.82,-0.61,-0.4
"Dvl1",0.82,0.83,0.65,0.61,-1.78,-0.73,-0.39
